"","x","url","precio","descripcion"
"54",54,"https://www.inmuebles24.com/propiedades/departamento-en-renta-azcapotzalco-a-dos-cuadras-de-57478480.html","MN 8,200","Departamento en renta a cinco minutos de metro Tezozomoc y Aquiles Serdán, dentro de conjunto cerrado con buenas vias de acceso.ubicado en un tercer piso sin elevador, consta de 79m2, consta de dos recámaras con closet,, un baño completo, amplia sala comedor, cuarto de TV u otra recámara, cocina integral, área de lavado integrado. En excelente estado de conservación, recién remodelado, con mucha luz.Cuenta con un lugar de estacionamiento independiente.Cercano a metros, a dos cuadras del parque Tezozomoc.Se acepta una mascota chica.Requisitos: Un mes de renta, un mes de depósito, póliza jurídica por $2,750, Fiador con propiedad en zona metropolitana y comprobantes de ingresos ultimos tres meses.Se pagan $50 de limpieza semanal"
"55",55,"https://www.inmuebles24.com/propiedades/renta-de-departamento-en-unidad-habitacional-56696982.html","MN 11,000","Departamento en Unidad Habilitación Azcapotzalco 2000 con excelente ubicación a unos metros de Parque  Tezozomoc muy buenas vías de Comunicación De 97 m con tres recamaras con closet , dos baños con lavabo fuera del área de baño, Sala Muy amplia e iluminada, comedor, Cocina con gabinetes, área de lavado  el departamento tiene dos entradas una de servicio y  principal un lugar de estacionamiento que no se estorba Se encuentra en un 1er piso .Listo para habitarlo  muy iluminado con inmejorable orientación,  espacios amplios La unidad cuenta con varios edificios  de  5 Pisos 4 departamentos por piso, Áreas Verdes muy grandes, estacionamiento de visitas  y vigilancia las 24 hrs. con 20 años de antigüedad la Unidad HabitacionalLa renta incluye mantenimiento."
"56",56,"https://www.inmuebles24.com/propiedades/departamento-frente-a-plaza-destino-58306571.html","MN 8,900","DEPARTAMENTO NUEVO 2 RECAMARAS CON CLOSET.  SE ACEPTA MASCOTA PEQUEÑA"
"57",57,"https://www.inmuebles24.com/propiedades/departamento-en-venta-y-renta-del-gas-azcapotzalco-53621725.html","MN 11,500","Venta y renta de departamento en Colonia del gas Azcapotzalco, 2 recámaras, 2 baños, sala, balcón, área de lavado, 1 estacionamiento. El edificio de 16 niveles, cuenta con un carril de nado, juego para niños, asadores, gimnasio interior y exterior.Cercano a vialidades, centros comerciales, supermercados y sitios de entretenimiento.*Si es de su interés la renta deberá estar abierto a recibir visitas ocasionales de compradores.. --- Código: PAA-010-09-17 ---"
"58",58,"https://www.inmuebles24.com/propiedades/departamento-en-renta-colonia-nueva-santa-maria-58225090.html","MN 14,000","Vialidades: Av. Camarones, Eje Eulalia Guzmán, Av. Cuitlahuac.  El Departamento  cuenta con Sala - Comedor, balcón, Cocina Integral, 3 recamaras con closet, 1 baño completo, Área de lavado. 1 lugar de estacionamiento.  Parque cercano, bancos."
"59",59,"https://www.inmuebles24.com/propiedades/departamento-aquiles-serdan-58193919.html","MN 12,500","Magnifico Departamento en excelente ubicación sobre avenida Aquiles Serdán, a muy poca distancia de la estación del metro Aquiles Serdán, recién remodelado, con closets nuevos, cuenta con tres recámaras, agradable estancia de sala comedor, cocina integral equipada, área de lavado, todo perfectamente distribuido y se encuentra en excelente estado de conservación, cuenta con vigilancia las 24 horas peatonal y vehicular, 1 lugar de estacionamiento, elevador, amenidades como juegos infantiles y salón de eventos. Aprovecha esta gran oportunidad para vivir cómodamente, con seguridad y en inmejorable ubicación. Llámanos."
"60",60,"https://www.inmuebles24.com/propiedades/departamento-en-renta-en-ampliacion-del-gas-58138354.html","MN 11,500","Hermoso departamento, ubicado en el conjunto habitacional “Tres Lagos Santamaría”, acceso por prolongación Naranjo a un costado del Sam’s la raza, y tiene cerca una plaza comercial con farmacia, tiendas de conveniencia, Banco (BBVA_Bancomer), tintorerías y alimentos.El departamento tiene sala-comedor, 2 recamaras, persianas en todas las ventanas que son de piso a techo, 1 baño, cocina equipada, área de lavado, gas natural, bodega de 4m2, y 2 lugares de estacionamiento uno frente al otro.Podrás disfrutar de una inigualable vista, ya que se encuentra en el piso 21, el último piso de la torre, además de que no tienes vecino en el piso de arriba.Podrás disfrutar de servicios como:• Alberca, chapoteadero, jacuzzi y regaderas,• Gimnasio equipado,• Salón de usos múltiples,• Roof Garden,• Jardines y áreas de convivencia familiar con juegos infantiles,• Área para mascotas,• Cuarto de recolección de basura,• Elevadores con acceso por huella digital,• Vigilancia las 24 horas para tranquilidad tuya y de tu familia.Mantenimiento incluido en la rentaLa ubicación es inigualable ya que se encuentra sobre circuito interior, el departamento estará disponible a partir de la tercera semana de marzo, anímate y has una cita para conocerlo, no te arrepentirás."
"61",61,"https://www.inmuebles24.com/propiedades/renta-departamento-oasis-azcapotzalco-58317062.html","MN 12,000","Departamento en buenas condiciones con balcón, dentro del Condominio Oasis Residencial Azcapotzalco con amenidades, mantenimiento incluido, listo para habitar. Se aceptan mascotas. Gimnasio, Ludoteca, Areas verdes con asador, Lobby Ubicación: A menos de 5 min: Eje vial 3 Norte, Av. Jardín, Plaza Parque Jardín, Walmart Cuitláhuac, Av. Río Consulado, Sam´s Club La Raza A 10 min: Metro La Raza, Metro Normal Requisitos: Renta + Depósito + Póliza jurídica básica de $3650"
"62",62,"https://www.inmuebles24.com/propiedades/renta-residencial-tres-lagos-lindas-areas-comunes-57590949.html","MN 11,700","Piso 8, con persianas y closets. Tiene mucha luz, alta seguridad, estacionamiento fijo y techado, elevador, vista panorámica. Las áreas comunes son muy lindas: - Jardines - Alberca con baños y vestidores - Gimnasio - Terrazas - Salón de usos múltiples - Juegos infantiles Más Mantenimiento $1,200.00 Cerca de escuelas, transportes públicos, parques, hospitales, centros comerciales"
"63",63,"https://www.inmuebles24.com/propiedades/rento-departamento-azcapotzalco-55953283.html","MN 10,000","A ESTRENAR DEPARTAMENTO LOFT, TECHOS ALTOS, UN SÓLO AMBIENTE, MODERNO, SALA - COMEDOR, CLOSET, COCINA INTEGRAL AMPLIA, CALENTADOR, SERVICIOS INCLUIDOS (AGUA, GAS, LUZ), BAÑO COMPLETO, PISOS DE LOSETA SIMULANDO MADERA, ÁREA PARA CENTRO DE LAVADO, NO HAY ESTACIONAMIENTO."
"64",64,"https://www.inmuebles24.com/propiedades/departamento-en-renta-en-azcapotzalco-58133455.html","MN 11,500","Renta este bonito departamento de 2 recamas, 2 baños completos, 2 lugares de estacionamiento, sala comedor, cocina integral, área de lavado, ubicado dentro del fraccionamiento ""Oasis Residencial Azcapotzalco"". El desarrollo cuenta con múltiples amenidades: - Gimnasio - Ludoteca - Alberca - Salón d e usos múltiples - Pista de jogging - Zona de asadores - Zona de juegos infantiles - Estacionamiento Subterra neo - Vigilancia las 24hrs Bien comunicado entre importantes vías de acceso como Cuitláhuac, Ceylán, Vallejo y Circuito interior. ¡Llama ahora! Ver datos Griselda Matias"
"65",65,"https://www.inmuebles24.com/propiedades/departamento-en-renta-cerca-del-unitec-cuitlahuac-57720625.html","MN 8,700","Departamento en Renta en la Col. Nueva Santa María la Rivera, en la calle de Clavelinas #257 int. 3, entre las calles de Toronja y Pomarrosa.Ubicado en 2do. Piso, exterior con balcón, cuenta con 2 recámaras con closet, 1 baño, sala, comedor, cocina con tarja,  en la azotea se encuentra el cuarto de servicio con conexiones para lavadora y jaula de tendido. Con derecho a 1 lugar de estacionamiento. Se encuentra muy bien ubicado a 5 minutos de Plaza Camarones y a 2 cuadras de Avenida Camarones. Cerca de las Avenidas Principales: Avenida Cuitláhuac y Avenida de las Granjas. Ubicada a 10 minutos de UNITEC Cuitláhuac, de escuelas, centros comerciales y supermercados de la zona."
"66",66,"https://www.inmuebles24.com/propiedades/rar9815-san-alvaro-departamento-de-renta-58307100.html","MN 8,500","RAR9815, SAN ALVARO DEPARTAMENTO EN RENTA, UBICADO EN PLANTA BAJA DEL EDIFICIO, BUEN ESTADO DE CONSERVACIÓN, CUENTA CON 2 RECAMARAS, 1 BAÑO COMPLETO, CON COCINETA, ESTUFA, CAMPANA Y 2 PATIOS."
"67",67,"https://www.inmuebles24.com/propiedades/depto-a-pasos-de-aquiles-serdan-58193823.html","MN 13,500","En  2° piso, con excelentes acabados, ventanales de pared a pared que le dan una magnífica iluminación. Amplia estancia, cocina integral abierta con cubierta de granito, barra desayunadora, estufa y campana Mabe , 1 baño completo, 2 recámaras con closet, una de ellas con un segundo baño completo.  Roof garden privado con bodega y área de lavado, estacionamiento con portón eléctrico  para 2 autos (no es compartido). Pisos cerámicos imitación madera, cancelería de aluminio e interfon. Cuota de mantenimiento  $700.- no incluidos en la renta. El edificio tiene cisterna y gas LP. Excelente ubicación pues está a unos pasos de Av. Aquiles Serdán, Av. Tezozomoc del metro Aquiles Serdán y muy cerca de las Armas y Calzada Camarones"
"68",68,"https://www.inmuebles24.com/propiedades/depto-en-renta-sobre-aquiles-serdan-seguridad-58115033.html","MN 9,000","Departamento en excelente ubicación,  al lado de Plaza Pabellón Azcapotzalco y a una cuadra del metro Camarones y Refinería. a dos cuadras de Parque Bicentenario. sobre la Av. Aquiles Serdan. Cuenta con dos recamaras, cocina y un baño, sala comedor. Seguridad Privada perimetral, todos los servicios y un Cajón de Estacionamiento Independiente sin molestar a nadie ni que te molesten. se encuentra en el segundo piso. conjunto con muchos servicios, tienda, papelería, area de juegos,  excelente trato y buena administración."
"69",69,"https://www.inmuebles24.com/propiedades/departamento-en-renta-obrero-popular-58187030.html","MN 10,200","Departamento en renta de 101 m2 en primer piso con vista al interior del edificio. 2 recámaras, 1 baño completo y 1 medio baño, cocina y estancia. Área de servicio integrada al departamento. No se aceptan mascotas. Requisitos: Fiador con propiedad dentro de la Ciudad de México Depósito en garantía (1 mes) Visitas con previa cita a los teléfonos Ver datos55Ver datos,Ver datos5579 Horario de atención: Lu-Vi de 09:00 am a 05:00 pm Todos los trámites se realizan en nuestras oficinas. Visite nuestra página:.mx"
"70",70,"https://www.inmuebles24.com/propiedades/centlapal-san-martin-xochinahuac-departamento-en-57772900.html","MN 1,830,000","Se vende bonito departamento en conjunto habitacional. Se encuentra en un 4to nivel. Tiene 2 recámaras con clósets, cocina integral y persianas. Cajón de estacionamiento, elevador, circuito cerrado. Vigilancia 24 horas con circuito cerrado.  La torre se llama  PINO. Precio de Renta $9,500.00.  (EN CASO DE RENTA INCLUYE MANTENIMIENTO)Precio de Venta $1,830,000.00."
"71",71,"https://www.inmuebles24.com/propiedades/se-renta-lotf-con-estacionamiento-en-puerta-jardin-58031777.html","MN 10,000","Se renta Loft en Puerta Jardín, Azcapotzalco. 38m2 Piso#29 $10,000 mantenimiento incluido. + amenidades (carril de nado, gimnasio, area de juegos infantiles, cine, salón de eventos, sala de juegos, cafetería, etc) de la unidad ubicada en importantes vías de acceso, cerca de plazas, centros comerciales y escuelas."
"72",72,"https://www.inmuebles24.com/propiedades/rento-departamento-a-5-minutos-de-polanco-55887063.html","MN 13,500","Departamento nuevos en Parquse Jardín Azcaptzalco, a 5 minutos de Polanco: Hermoso Departamento PISO 2?y PISO 15, de 2 y 3 Recámaras: Sala comedor, cocina integral, 2 baños completos, 3 elevadores, bodega, 3 elevadores, bodega, 2 cajones de estacionamiento y bodega Anclado a Plaza Comercial con todos los servicios, Soriana, Cinepolis, Restaurates, Gimnasio, etc... El siguiente año contará con Alberca semi Olimpica, Areas recreativas, Salon de Fiestas, Gimnasio, Bussines Lounge. Mantenimiento incluido Información Ver datos Whats App +Ver datos"
"73",73,"https://www.inmuebles24.com/propiedades/bonito-departamento-sin-amueblar-cerca-del-cch-57999024.html","MN 9,800","Amplio e iluminado departamento de 2 recámaras con clóset y dos baños completos, uno en la recámara principal y el otro para sus visitas, estancia y cocina integral amplia; zotehuela soleada y bien ventilada. El depto. está en cuarto nivel de un edificio de 4 niveles con elevador, tiene un cajón de estacionamiento independiente y grande; el conjunto cuenta con vigilancia y acceso controlado.    Se ubica en calle tranquila, mercado a unas cuadras, escuelas de nivel básico en la zona, cerca del metro Tezozomoc y de Town Center, El Rosario."
"74",74,"https://www.inmuebles24.com/propiedades/estrena-lindo-departamento-en-renta-cerca-del-metro-58254356.html","MN 9,200","ESTRENA BONITO DEPARTAMENTO EN RENTA, A UN COSTADO DEL METRO FERRERIA Y SUBURBANO FORTUNA CUENTA CON: -DOS RECAMARAS -SALA COMEDOR -UN BAÑO COMPLETO -COCINA INTEGRAL -AREA DE LAVADO INTEGRADA EN EL DEPARTAMENTO -UN LUGAR DE ESTACIONAMIENTO -VIGILANCIA LAS 24 HRS -ELEVADOR AREAS COMUNES: LUDOTECA, SALON PARA EVENTOS Y AREA DE JUEGOS INFANTILES INFORMES Y CITAS AL: Ver datos / 0Ver datos ALEJANDRO O HECTOR"
"75",75,"https://www.inmuebles24.com/propiedades/departamento-renta-57918909.html","MN 8,000","DEPARTAMENTO EN PLANTA BAJA DE UNA RECAMARA, SALA-COMEDOR, COCINA INTEGRAL Y UN BAÑO COMPLETO, EXCELENTE UBICACIÓN"
"76",76,"https://www.inmuebles24.com/propiedades/departamento-en-renta-en-azcapotzalco-57721769.html","MN 14,000","Se renta lindo departamento de 67m2, en segundo piso, cuenta con sala-comedor, cocina de concepto abierto, dos habitaciones y cada una de ellas con closets y dos baños completos, un pequeño patio de servicio, con un lugar de estacionamiento, elevador y un área comunal para las reuniones.    Definitivamente un gran lugar para vivir, en una excelente ubicación así como restaurantes y bancos a unos cuantos pasos, en la glorieta de Camarones. El lugar ideal para vivir en una zona céntrica y bien comunicada que cuenta con vigilancia las 24 hrs del día."
"77",77,"https://www.inmuebles24.com/propiedades/departamento-de-3-recamaras-58333533.html","MN 8,700","Amplio departamento muy bien iluminado que cuenta con 3 recámaras (2 con closet), 1 baño completo, sala-comedor, cocina, y cajón de estacionamiento independiente con vista a la calle Hacienda de Sotelo, a una cuadra de Aquiles Serdán, a unos pasos del Town Center el Rosario, Soriana, Walmart, metro Rosario. A cinco minutos se encuentran escuelas, hospitales, mercados. A dos calles del Parque Tezozomoc."
"78",78,"https://www.inmuebles24.com/propiedades/departamento-en-renta-obrero-popular-58186975.html","MN 9,000","Departamento en renta de 93 m2 en segundo piso con vista al interior del edificio. 2 recámaras, 1 baño completo y 1 medio baño, cocina y estancia. Área de servicio integrada al departamento. No se aceptan mascotas. Requisitos: Fiador con propiedad dentro de la Ciudad de México Depósito en garantía (1 mes) Visitas con previa cita a los teléfonos Ver datos55Ver datos,Ver datos5579 Horario de atención: Lu-Vi de 09:00 am a 05:00 pm Todos los trámites se realizan en nuestras oficinas. Visite nuestra página:.mx"
"79",79,"https://www.inmuebles24.com/propiedades/renta-departamento-en-san-francisco-xocotitla-no.119-58221638.html","MN 12,000","ACOGEDOR DEPARTAMENTO UBICADO EN SAN FRANCISCO XOCOTITLA , COL DEL GAS, AL NORTE DE LA CIUDAD DE MÉXICO, CERCA A AVENIDAS PRINCIPALES  COMO INSURGENTES NORTE Y CIRCUITO INTERIOR A 10 MIN. METRO LA RAZA Y 5 MIN DE PLAZA PARQUE JARDÍN. EL DESARROLLO CUENTA CON TRES TORRES, VIGILANCIA LAS 24 HRS. , SALIDAS DE EMERGENCIA, ELEVADOR Y DIVERSAS AMENIDADES RECREATIVAS, DEPORTIVAS Y LUDICAS. UBICADO EN EL NIVEL 7 TORRE C, CONSTA DE ESTANCIA, COMEDOR, DOS RECAMARAS (LA PRINCIPAL CON BAÑO COMPLETO, COCINA, BARRA Y CUARTO DE SERVICIO. MANTENIMIENTO (1,200) INCLUIDO EN LA RENTA ANDRIANA AGUILAR Ver datos"
"80",80,"https://www.inmuebles24.com/propiedades/santa-lucia-departamento-en-renta-58122891.html","MN 12,000","Excelente Departamento en RENTA ubicado en Barrio Santa Lucia, alcaldía Azcapotzalco se encuentra a un costado de la Calzada San Isidro.en el 6° Piso, cuenta con: Estancia - comedor Cocina integral con barra, 2 recamaras con closets, 1 baño completo, Área de lavado, cuenta con un cajón de estacionamiento, Sup. de Construcción: 65.0 m2, Amenidades; Gym, Área para eventos, Estancia infantil. Precio: $12,000.- mensuales, para mayores informes y citas llame al Ver datos, Ver datos y cel. Ver datos con Ing. Ruben Viques."
"81",81,"https://www.inmuebles24.com/propiedades/estrena-bonito-departamento-en-renta-puerta-jardin-57002381.html","MN 12,000","Estrena bonito departamento en Puerta Jardín, estancia, cocina, baño, área de lavado, 1 cajón de estacionamiento, amenidades: gimnasio, carril de nado, salón de eventos, salón de juegos, sala de cine, ludoteca, cafetería, vigilancia 24hrs; (ubicado sobre circuito interior a un costado de SAMS club la raza) Miriam Delgado  Ver datos"
"82",82,"https://www.inmuebles24.com/propiedades/depto-nuevo-en-renta-calz.-san-isidro-cima-df-57840483.html","MN 12,500","Departamento en Renta en Cima DF San Isidro, Col. San Pedro Xalpa, 2 recámaras. Ubicada a 3 minutos de Echegaray, 20 de Polanco y 25 del centro histórico, Cima DF San Isidro es tu mejor opción. Estarás cerca de supermercados, escuelas, parques, transporte público, líneas de metro, clínicas y hospitales, centros comerciales, cines, restaurantes y centros deportivos. Los departamentos cuenta con acabados de lujo, sistemas inteligentes de iluminación, internet inalámbrico en la plaza verde. El edificio verde contiene recolección de aguas pluviales para uso en riego y lavado de autos. Detalles de los departamentos: 67.54 m2 de construcción y de terreno. 2 recámaras 2 baños 1 lugares de estacionamiento Pet friendly Asadores Gimnasio Roof garden Ludoteca Seguridad mantenimiento incluido de $1,000 Calz. San Isidro # 588, Col. San Pedro Xalpa, Del. Azcapotzalco, C.P. Ver datos"
"83",83,"https://www.inmuebles24.com/propiedades/bonito-depto.-en-renta-col-del-recreo.-58249351.html","MN 8,500","BONITO DEPARTAMENTO EN RENTA EN LA COLONIA DEL RECREO CALLE NUBIA, A LADO DE CLAVERIA, A 3 MINUTOS DE LA GLORIETA DE CAMARONES Y DEL METRO CAMARONES. EXCELENTE UBICACIÓN . EL DEPARTAMENTO CONSTA DE: DOS RECAMARAS, ESPACIO SALA-COMEDOR, UN BAÑO COMPLETO, ÁREA DE LAVADO. VIGILANCIA LAS 24 HRS, PISTA PARA CORRER."
"84",84,"https://www.inmuebles24.com/propiedades/departamento-en-renta-de-69-m-sup2--en-aquiles-serdan-58129683.html","MN 11,000","Se renta departamento a un costado de Pabellón Azcapotzalco, cerca de metro refinería, Parque Bicentenario, centros comerciales, centro de Azcapotzalco y con acceso rápido a Polanco y al centro de la ciudad.   Se encuentra ubicado en 5 to piso con elevador, consta de estancia, cocina con área de lavado, 2 recámaras, 1 baño completo, 1 bodega y 1 lugar de estacionamiento.  Acceso controlado por tarjetas y seguridad 24/7.  Unidad muy tranquila."
"85",85,"https://www.inmuebles24.com/propiedades/departamento-recien-remodelado-cerca-de-la-arena-cdmx-58326862.html","MN 10,500","Departamento recién remodelado muy iluminado ideal para parejas jóvenes, con excelente ubicación, cerca Arena CD de México. Cuenta cocina integral con área de lavado para lava-secadora, 2 recámaras con closets y persianas, baño completo con cancel, amplia estancia con persianas, lámparas y clóset de blancos, piso de madera, estacionamiento, área de tendido en azotea (jaula) y lavadero. Edificio con cisterna y gas natural. Mantenimiento incluido."
"86",86,"https://www.inmuebles24.com/propiedades/departamento-en-renta-en-euzkadi-azcapotzalco-rar-58154951.html","MN 12,000","Departamento nuevo (Construcción nueva) con excelentes acabados, espacios amplios, entre Av. Jardín, Cerca de Plaza Jardín y Av. Cuitláhuac. ¡Listo para habitar! (No Mascotas)"
"87",87,"https://www.inmuebles24.com/propiedades/rento-departamento-en-san-alvaro-azcapotzalco-58208066.html","MN 11,000","Departamento de 2 recámaras con Closet, piso laminado, con balcón, un baño, Sala Comedor, Cocina abierta, área de lavado, el piso es porcelanato, cuenta con un estacionamiento, 1 Bodega, Portero de lunes a Sábado, se cuenta con circuito cerrado, el edificio tiene 5 años aprox. Es Ideal para ejecutivos o parejas el mantenimiento NO está incluido, es de $1,200 pesos NO se Aceptan Mascotas"
"88",88,"https://www.inmuebles24.com/propiedades/depto.-en-renta-$11-mil-azcapotzalco-cdmx.-57454944.html","MN 11,000","Departamento en renta, $11 mil, Azcapotzalco, CdMx. Departamento en renta, gran oportunidad, $16 mil de 65m2 con mantenimiento incluido. Si buscas espacio y comodidad, es una oportunidad que no te puedes perder. Ubicado en un tercer piso, Cuenta con 2 recámaras, cocina equipada, 1 baño completo, área de lavado integrada al departamento, lugar para 1 coche, elevador en el edificio, seguridad la 24 horas y es un circuito cerrado. AB Inmobiliaria"
"89",89,"https://www.inmuebles24.com/propiedades/hermoso-departamento-2-cajones-de-estacionamiento-58116759.html","MN 11,500","Hermoso departamento, ubicado en el conjunto habitacional “Tres Lagos Santamaría”, acceso por prolongación Naranjo a un costado del Sam’s la Raza, tiene cerca una plaza comercial con farmacia, tiendas de conveniencia, Banco (BBVA), tintorerías y alimentos.El departamento tiene sala-comedor, 2 recamaras, persianas en todas las ventanas que son de piso a techo, 1 baño, cocina equipada, área de lavado, gas natural, bodega de 4m2, y 2 lugares de estacionamiento uno tras otro.Podrás disfrutar de una inigualable vista, ya que se encuentra en el piso 21, el último piso de la torre, además de que no tienes vecino en el piso de arriba.Podrás disfrutar de servicios como:• Alberca, chapoteadero, jacuzzi y regaderas,• Gimnasio equipado,• Salón de usos múltiples,• Roof Garden,• Jardines y áreas de convivencia familiar con juegos infantiles,• Área para mascotas,• Cuarto de recolección de basura,• Elevadores con acceso por huella digital,• Vigilancia las 24 horas para tranquilidad tuya y de tu familia.La ubicación es inigualable ya que se encuentra sobre circuito interior, anímate y has una cita para conocerlo, no te arrepentirás.*El precio incluye la cuota de mantenimientoRequisitos:•	Identificación Oficial,•	Recibos de nómina con ingresos comprobables 3 a 1,•	Aval con propiedad en la Ciudad de México,•	Mes corriente más 1 mes de depósito en garantía."
"90",90,"https://www.inmuebles24.com/propiedades/departamento-en-renta-en-san-juan-tlihuaca-58296326.html","MN 9,500","Nocnok ID: MX20-HY9522. DEPA DE 2 RECAMRAS EN PLANTA BAJA, MUY CERCA DEL CCH AZCAPO Y METROS AQUILES SERDAN Y TEZOZOMOC, PLAZA COMERCIAL TOWN CENTER, COCINA INTEGRAL, SALAL COMEDOR AMPLIA Estátus jurídico: Libre de gravamen.ADVERTENCIA:  Recuerda que nunca debes dar un anticipo sin validar que esta publicación sea legítima. NOCNOK no se hace responsable por la información contenida en los anuncios publicados por los usuarios a través de su sistema."
"91",91,"https://www.inmuebles24.com/propiedades/departamento-en-renta-en-ampliacion-del-gas-58289622.html","MN 12,500","Bonito depto en Tres Lagos Santa María- Dos recamaras con closet completos- Dos baños completos- Sala comedor - Cuarto de servicio- 1 estacionamiento El desarrollo cuenta con gimnasio, salón de eventos, alberca, seguridad 24 horas, áreas verdes, 1 estacionamiento. Junto a Sam´s Club La Raza.- $Ver datos incluye mantenimientoRequisitos:- 1 Renta- 1 Deposito- Póliza Jurídica"
"92",92,"https://www.inmuebles24.com/propiedades/departamento-en-renta-en-cosmopolita-oasis-58018657.html","MN 13,200","Departamento con balcón, acabados de lujo, dos recamaras con closet, dos baños, dos cajones de estacionamiento, sala, estancia, comedor, cocina integral, patio de servicio, vigilancia 24 horas, parque de mascotas, centro de fitness, piscina, portero, entrada con seguridad, acceso para silla de ruedas, ascensor. Centros comerciales cercanos, escuelas cercanas"
"93",93,"https://www.inmuebles24.com/propiedades/departamento-en-renta-en-san-pedro-xalpa-57394862.html","MN 14,000","Nocnok ID: MX19-HF1619. SE RENTA PENT HOUSE EN 14,000ADVERTENCIA:  Recuerda que nunca debes dar un anticipo sin validar que esta publicación sea legítima. NOCNOK no se hace responsable por la información contenida en los anuncios publicados por los usuarios a través de su sistema."
"94",94,"https://www.inmuebles24.com/propiedades/departamento-en-renta-en-oasis-residencial-57994053.html","MN 13,200","Departamento con balcón, acabados de lujo, dos recamaras con closet, dos baños, dos cajones de estacionamiento, sala, estancia, comedor, cocina integral, patio de servicio, vigilancia intramuros.68 M2 de construcción"
"95",95,"https://www.inmuebles24.com/propiedades/departamento-en-renta-en-del-recreo-58128712.html","MN 12,000","Hermoso departamento, ubicado a pocos minutos del centro de azcapotzalco, Aquiles Serdán y camarones, áreas de recreo y salón de usos múltiples, vigilancia las 24 hrs."
"96",96,"https://www.inmuebles24.com/propiedades/departamento-en-renta-colonia-del-gas-atzcapotzalco-58027949.html","MN 13,000","Departamento en Renta Colonia del Gas, Atzcapotzalco,Parque Jardín. Cerca de PolancoIncluye MantenimientoDe 75 m2 con bonita vista al Jardín 3 recámaras con closet2 baños completosCocina Integral con barraCuarto de servicioSala y comedor amplios1 Bodega amplia2 estacionamientosEl conjunto cuenta con elevadores con seguridad de huella (biómetricos), cámaras externas e internas del conjunto, seguridad 24 hrs, jardín amplio, juegos para niños, plaza con centros comerciales y gym. Cerca de escuelas y muy bien ubicado.Próximamente las mejores amenidadesEjercítate en la pista de jogging, ponte en forma en el gimnasio, practica natación en la alberca, lleva a tus hijos al skate park o juega voleibol en las áreas deportivas. Encuentra diferentes opciones para mantener una vida saludable. Comparte tiempo con amigos y familia en los salones de usos múltiples y diviértete con tus hijos en las áreas verdes y los juegos infantiles.para mayor información comunicarse al Ver datos-37Nayeli"
"97",97,"https://www.inmuebles24.com/propiedades/departamento-nuevo-en-renta-tlatilco-azcapotzalco-58074391.html","MN 11,000","Departamento de 60m2 con dos recámaras con clóset, 1 baño completo, cocina equipada con refrigerador, centro de lavado (lavadora, lavadero  y secadora), dos elevadores, balcón hacia el exterior, 1 cajón de estacionamiento, vigilancia 24 horas, ingreso automatizado"
"98",98,"https://www.inmuebles24.com/propiedades/departamento-en-renta-en-san-pedro-xalpa-57923133.html","MN 11,500",": Calz San Isidro 610San Pedro XalpaDelegación AzcapotzalcoEs un edificio de 10 niveles: 72m2Dos recamaras y dos baños completosCajón de estacionamientoCuota de mantenimiento ya incluida en la renta$11,500"
"99",99,"https://www.inmuebles24.com/propiedades/departamento-en-renta-en-azcapotzalco-57915472.html","MN 8,000","Departamento recién remodelado. Todo nuevo. Elevador. Todos los servicios pagados. Muy céntrico, al lado del metro ""Ferrería"" y la estación ""Fortuna"" del Suburbano."
"100",100,"https://www.inmuebles24.com/propiedades/departamento-en-renta-en-san-andres-58116932.html","MN 9,000","lindo y acogedor departamento de 3 recamas un baño y un cajón de estacionamiento, cuenta con cocina integral espacio para sala y comedor y área de lavado"
"101",101,"https://www.inmuebles24.com/propiedades/departamento-en-renta-en-ampliacion-del-gas-58082104.html","MN 13,000","Departamento amueblado consta de 2 habitaciones con closet, sala, comedor, cocina integral, área de lavado en el departamento, baño completo, 1 lugar de estacionamiento y vigilancia 24 horas.Cuenta con amenidades como:-Alberca.-Gimnasio.-Salón de multiplicables.-Áreas verdes.-Área para mascotas.-Área de juegos infantiles.SE ENTREGA AMUEBLADO Y EQUIPADOmantenimiento incluido.Condición construcción: Buena"
